just_date,Popularity,Sentiment,date
2015-07-07,271,-0.6438223938223938,2015-07-07
2015-07-08,263,-0.2104247104247104,2015-07-08
2015-07-16,921,0.03403217083998839,2015-07-16
2015-07-20,403,-0.09073359073359073,2015-07-20
2015-07-25,425,-0.25965250965250963,2015-07-25
2015-08-05,757,-0.23529936806026638,2015-08-05
2015-08-10,509,0.40250965250965254,2015-08-10
2015-08-13,184,0.20559845559845552,2015-08-13
2015-08-27,620,-0.33494208494208494,2015-08-27
2015-09-18,1039,-0.03901602000735783,2015-09-18
2015-10-23,606,0.36003861003861004,2015-10-23
2015-11-03,1414,-0.5716292671738216,2015-11-03
2015-11-12,609,0.20559845559845552,2015-11-12
2015-11-18,189,-0.15250965250965248,2015-11-18
2015-11-19,269,0.001930501930501871,2015-11-19
2015-11-27,259,-0.055019305019305006,2015-11-27
2015-12-15,377,-0.3503861003861003,2015-12-15
2015-12-18,539,0.09266409266409273,2015-12-18
2015-12-23,453,0.3098455598455598,2015-12-23
2016-01-15,405,0.007722007722007734,2016-01-15
2016-01-26,1079,-0.00579150579150578,2016-01-26
2016-01-27,1870,-0.2866795366795366,2016-01-27
2016-02-05,1896,-0.5598455598455598,2016-02-05
2016-02-21,1253,-0.37065637065637064,2016-02-21
2016-02-26,2126,0.06370656370656372,2016-02-26
2016-02-27,3268,-0.11776061776061772,2016-02-27
2016-03-08,11074,-0.24517374517374518,2016-03-08
2016-03-11,3192,-0.5372507644594111,2016-03-11
2016-03-12,613,0.0424710424710425,2016-03-12
2016-04-03,816,-0.027027027027027042,2016-04-03
2016-04-12,4830,0.07818532818532817,2016-04-12
2016-04-15,1745,-0.7210424710424709,2016-04-15
2016-04-16,918,-0.4749034749034749,2016-04-16
2016-04-17,6342,0.11969111969111966,2016-04-17
2016-04-18,1712,-0.44787644787644787,2016-04-18
2016-04-20,1246,0.2123552123552124,2016-04-20
2016-04-21,2398,-0.3416988416988417,2016-04-21
2016-04-22,567,-0.23745173745173745,2016-04-22
2016-04-29,1265,-0.00579150579150578,2016-04-29
2016-04-30,1208,-0.4333976833976833,2016-04-30
2016-05-05,2495,0.06370656370656372,2016-05-05
2016-05-11,1924,-0.3716216216216216,2016-05-11
2016-05-15,12452,-0.3918918918918919,2016-05-15
2016-06-09,3055,0.3947876447876448,2016-06-09
2016-06-10,2093,-0.3571428571428571,2016-06-10
2016-06-21,5649,-0.1544401544401544,2016-06-21
2016-06-22,477,-0.3494208494208494,2016-06-22
2016-07-02,1631,0.359073359073359,2016-07-02
2016-07-06,20715,-0.3788737014660259,2016-07-06
2016-07-11,1329,0.44305019305019305,2016-07-11
2016-07-22,2833,-0.060810810810810766,2016-07-22
2016-07-26,1987,-0.4131274131274131,2016-07-26
2016-07-29,1903,-0.03861003861003863,2016-07-29
2016-07-30,3201,-0.138996138996139,2016-07-30
2016-08-03,1697,-0.14671814671814673,2016-08-03
2016-08-06,11906,-0.19594594594594594,2016-08-06
2016-08-08,14991,0.34532778869380837,2016-08-08
2016-08-15,1787,-0.39961389961389954,2016-08-15
2016-08-17,10034,-0.12644787644787642,2016-08-17
2016-08-21,4071,-0.23069498069498068,2016-08-21
2016-09-05,5630,0.1351351351351351,2016-09-05
2016-09-12,4979,-0.06949806949806947,2016-09-12
2016-09-15,13620,-0.006178031398295711,2016-09-15
2016-09-23,1781,0.007722007722007734,2016-09-23
2016-09-28,4327,-0.1187258687258687,2016-09-28
2016-10-03,2829,0.16216216216216212,2016-10-03
2016-10-08,16786,-0.1207961037580959,2016-10-08
2016-10-10,2831,-0.24517374517374516,2016-10-10
2016-10-18,3203,-0.0772200772200772,2016-10-18
2016-10-22,3093,-0.166988416988417,2016-10-22
2016-10-26,7810,-0.09845559845559845,2016-10-26
2016-11-03,10099,-0.08397683397683396,2016-11-03
2016-11-06,2598,-0.10424710424710422,2016-11-06
2016-11-09,5095,0.5559845559845559,2016-11-09
2016-11-10,1208,-0.2451737451737452,2016-11-10
2016-11-11,8001,0.05286863273364966,2016-11-11
2016-11-16,4274,-0.5503375894110568,2016-11-16
2016-11-18,6768,-0.20270270270270266,2016-11-18
2016-11-19,18212,0.02123552123552125,2016-11-19
2016-11-21,6195,-0.2722607595488951,2016-11-21
2016-11-23,6006,0.14768339768339767,2016-11-23
2016-11-27,5209,-0.1332046332046332,2016-11-27
2016-12-01,9868,-0.6754009097695761,2016-12-01
2016-12-04,9564,-0.2664092664092664,2016-12-04
2016-12-05,1887,0.0019305019305018711,2016-12-05
2016-12-06,13167,-0.22297297297297297,2016-12-06
2016-12-07,3390,0.1351351351351351,2016-12-07
2016-12-10,4955,0.08590733590733585,2016-12-10
2016-12-11,5126,-0.09073359073359072,2016-12-11
2016-12-13,20912,-0.04826254826254828,2016-12-13
2016-12-16,3853,-0.6235521235521235,2016-12-16
2016-12-17,3291,0.02123552123552125,2016-12-17
2016-12-19,11335,-0.12644787644787642,2016-12-19
2016-12-23,4849,-0.3146718146718146,2016-12-23
2016-12-26,3776,-0.2722007722007722,2016-12-26
2016-12-29,2121,-0.25193050193050187,2016-12-29
2016-12-30,9452,0.14189189189189189,2016-12-30
2016-12-31,2598,-0.13996138996138993,2016-12-31
2017-01-04,2361,-0.18050193050193045,2017-01-04
2017-01-06,2601,-0.15347490347490342,2017-01-06
2017-01-12,4410,-0.2731660231660231,2017-01-12
2017-01-16,12538,-0.25270036232709703,2017-01-16
2017-01-21,5921,-0.5675675675675675,2017-01-21
2017-01-23,3723,-0.14671814671814673,2017-01-23
2017-01-25,3187,-0.1824324324324324,2017-01-25
2017-01-26,2549,-0.5183397683397684,2017-01-26
2017-01-27,1462,-0.15347490347490342,2017-01-27
2017-02-02,2632,0.007722007722007735,2017-02-02
2017-02-04,35633,-0.3382646741822225,2017-02-04
2017-02-05,5373,-0.23069498069498068,2017-02-05
2017-02-07,22597,-0.12308788726012249,2017-02-07
2017-02-08,31047,0.09169884169884168,2017-02-08
2017-02-12,162931,0.03263083344682304,2017-02-12
2017-02-14,3281,-0.19594594594594594,2017-02-14
2017-02-15,5388,-0.19594594594594592,2017-02-15
2017-02-19,12301,0.17664092664092665,2017-02-19
