,Popularity,Sentiment,ETH,LTC,XRP,ETC,DASH,XMR,BCH,BTC
Popularity,1.0,-0.2620391325345635,0.008125154796024613,0.055744856220015696,0.0033952371412102438,0.0835969372430952,0.029910859408289407,0.03167150792664423,-0.08668750756736737,0.03998659624309429
Sentiment,-0.2620391325345635,1.0,-0.06852024162465635,-0.03157711842933287,-0.02826930526526288,-0.01878678331691762,-0.06943655195993924,-0.05999371593697301,-0.09516021463328338,0.004715679047074083
ETH,0.008125154796024613,-0.06852024162465635,1.0,0.43760861654093086,0.21235039085336435,0.6014374493900735,0.5069110575161941,0.5546318515203226,0.3002890156100751,0.4107712946343511
LTC,0.055744856220015696,-0.03157711842933287,0.43760861654093086,1.0,0.3239048421647867,0.4820617238334603,0.34015271259285434,0.4372043107689077,0.2334605545048263,0.4206451763111074
XRP,0.0033952371412102438,-0.02826930526526288,0.21235039085336435,0.3239048421647867,1.0,0.11477970443238326,0.09114552305141697,0.22663558980350798,0.03808544103651306,0.13146905078637414
ETC,0.0835969372430952,-0.01878678331691762,0.6014374493900735,0.4820617238334603,0.11477970443238326,1.0,0.3875553100321858,0.44739835631880026,0.4168025628204652,0.4165623157523515
DASH,0.029910859408289407,-0.06943655195993924,0.5069110575161941,0.34015271259285434,0.09114552305141697,0.3875553100321858,1.0,0.49841779986873896,0.47667732040538147,0.3070949535646383
XMR,0.03167150792664423,-0.05999371593697301,0.5546318515203226,0.4372043107689077,0.22663558980350798,0.44739835631880026,0.49841779986873896,1.0,0.22767735470135816,0.40918310343008446
BCH,-0.08668750756736737,-0.09516021463328338,0.3002890156100751,0.2334605545048263,0.03808544103651306,0.4168025628204652,0.47667732040538147,0.22767735470135816,1.0,0.02198344041958614
BTC,0.03998659624309429,0.004715679047074083,0.4107712946343511,0.4206451763111074,0.13146905078637414,0.4165623157523515,0.3070949535646383,0.40918310343008446,0.02198344041958614,1.0
